title,artist,album,url,description,release_year,fetch_date,mb_recording_id,mb_work_ids,composer,matched_title,matched_artist,match_score,artist_country
Antonio mocho,"Kardos Mária, Bocz Krisztina, Szénási Zsuzsa, Sándor Pétet, Jorge Alberto Arijona, and Jose Omar Flores",Mezcla,https://www.youtube.com/watch?v=bDbPQkJENfs,,,2026-04-18 23:06:41,2caf175c-c791-4883-aef8-edd9961d4d89,,,Antonio Mocho,Luis Carmilena,,
Linda bella,Ñanda Mañachi,Peguche Capilla,https://www.youtube.com/watch?v=gkyrddZQhiY,,,2026-04-18 23:06:41,fb7eb512-2bf0-4f13-91dc-5ddcd108f689,,,Linda bella,Ñanda Mañachi,,
El Pituco,tarpuy,Espiritu del Tiempo,https://www.youtube.com/watch?v=RI23wvNM2mU,,,2026-04-18 23:06:41,144d4d8c-5aff-4a45-b101-929da7e7bb64,,,El Pituco,Tarpuy,,
"Tus, Tus, Tus",Ñanda Mañachi,Traditional Music Of The Andes,https://www.youtube.com/watch?v=Kyk0bQvI1a8,,,2026-04-18 23:06:41,9ebdc608-9b36-4b98-9097-c0b83d73132d,,,Tus Tús,Txapelpunk,,
Huasca de Corales / Regresa Pronto,Angel Ulloa,Me Duele Tu Partida,https://www.youtube.com/watch?v=sjnsDQxBqNg,,,2026-04-18 23:06:41,85d3741c-95bd-4aa9-af14-f460db212ab0,,,De Corales,Miguel Angel Cortés,,
Canguro Tullo,Ecuador Inkas,El Cóndor Pasa,https://www.youtube.com/watch?v=AIP_I66ZL9Y,,,2026-04-18 23:06:41,1d026e2f-308a-4bcc-826d-ac3d839dfe6e,,,Canguro tullo,Ecuador Inkas,,
San Juanito Irlandés,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 63",https://www.youtube.com/watch?v=8GkiljHpsGY,,,2026-04-18 23:06:41,8143ccbb-0f63-4a3c-a8e2-43b426b8267c,,,San Juanito Irlandes (San Juanito),Itumiray,,
Mi Ecuador,Trio Sensacional,Mi Ecuador,https://www.youtube.com/watch?v=Ak4mSHzNBGo,,,2026-04-18 23:06:41,0db415b6-140a-4f5f-beef-0ba5b7593710,,,Mi Ecuador,Grupo Fortaleza,,
San Juanitos,Inca Son,Peru - A Musical Journey,https://www.youtube.com/watch?v=_wxvhkgPY-Q,,,2026-04-18 23:06:41,9cf41698-acf4-433d-afe1-84aafcd8311c,,,San Juanitos,Inca Son,,
16 Piruritu.wav,"Luis Humberto Gramal, Jose Segundo Gramal, Dave West, Richard Maldonado",The Best Of Winiaypa,https://www.youtube.com/watch?v=Fv_A10020AE,,,2026-04-18 23:06:41,67c97c64-0b8a-42cb-bfc8-bb5bbef7cfc3,,,Helios (Original),Theo Gramal,,
Waytaku,Yarina,Yawar Wawki,https://www.youtube.com/watch?v=mCXCzsl_NhY,,,2026-04-18 23:06:41,d69ba5e7-4b60-4ec0-a701-792155c2cb9d,,,Canmandalla (Por Ti / To You),Yarina,,EC
Que siga la farra Sanjuanito,Banda Municipal de Quito,QUE SIGA LA FARRA,https://www.youtube.com/watch?v=Igj0stGLv-M,,,2026-04-18 23:06:41,dc26b5fd-968a-4f57-9265-8b78df526e34,,,Que Siga La Farra,Alcides,,
Pobre Indiecito,Fresia Saavedra,Éxitos Eternos De Nuestra Música Nacional,https://www.youtube.com/watch?v=sISrLja3aRo,,,2026-04-18 23:06:41,277adfa5-0872-4152-a321-4e3bf84f81f3,,,El ladrón,Fresia Saavedra,,EC
Jihua,Charijayac,Made In Ecuador - Sus Mejores Éxitos,https://www.youtube.com/watch?v=Bx70ZUGApe8,,,2026-04-18 23:06:41,d236b716-6f16-4810-ba2d-e7061dc9d3ba,,,Jihua,Quichua Mashis,,
Ecuador Tierra Soñada (Sanjuanito),Fausto Huayamabe,Ecuador Tierra Soñada (Sanjuanito),https://www.youtube.com/watch?v=uw-pFIF-LPQ,,,2026-04-18 23:06:41,9f2b9bb8-0cab-402b-a5ba-7e7c6e120e63,,,"Imbacocha (Sanjuanito, Ecuador)",ÑucaLlacta,,
Jilguerito,Yarina,Nawi,https://www.youtube.com/watch?v=kz2enX1s5VU,,,2026-04-18 23:06:41,6a7a08e8-cff5-433b-bdda-a0b419fe7262,,,Jilguerito,Yarina,,EC
Pobre Corazón,Trío Los Brillantes,Época de Oro,https://www.youtube.com/watch?v=m5PgVv8PkfA,,,2026-04-18 23:06:41,c7857b94-5c15-4fd7-aa53-2320769a4efd,,,Pobre Corazón (Sanjuanito),Los Brillantes,,
Chamizas,Hermanas Mendoza Suasti,Grandes Éxitos,https://www.youtube.com/watch?v=WX_HRTiOG44,,,2026-04-18 23:06:41,074c1079-6109-42f8-bb85-cc14cfc84ff8,,,Chamizas,Don Medardo y sus Players,,EC
Sanjuacum,Wayanay,Acorazonado,https://www.youtube.com/watch?v=XXujukUH91Q,,,2026-04-18 23:06:41,d4454697-5a64-4030-b1f0-a00a687def44,,,Sairi Del Ande,Wayanay,,
Palomita Cuculí,Hermanas Mendoza Suasti,Voces Eternas Del Ecuador,https://www.youtube.com/watch?v=B6Faz4eLV7Q,,,2026-04-18 23:06:41,0460009c-624d-4b47-b2eb-e00e06161447,,,Palomita cuculí,Richard Colonia,,
Garu Llactamanmi,Ecuador Inkas,El Cóndor Pasa,https://www.youtube.com/watch?v=Wqa_8XfU7Ak,,,2026-04-18 23:06:41,fb62e367-2b06-416b-b8bf-ff4300fa8547,,,Caru liactamanmi,Ecuador Inkas,,
Amores Hallaras,Music festival Andina,San juanitos,https://www.youtube.com/watch?v=3epgsytpRqY,,,2026-04-18 23:06:41,7eb5dd3d-a947-4b97-89a2-115abe6fa537,,,Amores Hallaras,Fusion Andina,,
Ponchito,Cesar Espinoza,Kutin Takishun,https://www.youtube.com/watch?v=gqfGHpsbe4A,,,2026-04-18 23:06:41,1c3e8b11-a211-4f26-8799-f6802cae0edb,,,Let It Be,Cesar Espinoza,,
Antonio Mocho,Charijayac,Made In Ecuador - Sus Mejores Éxitos,https://www.youtube.com/watch?v=IOT6t6E546c,,,2026-04-18 23:06:41,2caf175c-c791-4883-aef8-edd9961d4d89,,,Antonio Mocho,Luis Carmilena,,
Kalpay,Ñucanchi Ñan,Kalpay,https://www.youtube.com/watch?v=KVv-bEy2XKA,,,2026-04-18 23:06:41,fba74631-cf5c-4fe8-8164-a5d53d711da5,,,Solito,Ñucanchi Ñan,,EC
Uyachishun,Karu Ñan,Kimsa Juyashka,https://www.youtube.com/watch?v=ThB0NlJN1_c,,,2026-04-18 23:06:41,141b8f08-2dd5-4b3d-b808-01e81ee86ba9,,,Tus lágrimas,Karu Nan,,
San Juanito de la Luna (San Juanito Of The Moon) (2023 Remastered),Huayucaltia,Horizontes (2023 Remastered),https://www.youtube.com/watch?v=AHZOR7xNqv0,,,2026-04-18 23:06:41,b6a86e39-a60a-466f-908e-6c09308e5be9,,,San Juanito de la Luna (San Juanito of the Moon),Huayucaltia,,
Polaquita,Wuauquikuna,Best of Meditation II,https://www.youtube.com/watch?v=X8XdqSzEgg8,,,2026-04-18 23:06:41,a5d00dfc-434a-4862-9373-130ad00f1178,,,Inkas Wambra,Wuauquikuna,,
San Juanito 2,Ensamble Alejandro Arévalo,Revelaciones Extraordinarias,https://www.youtube.com/watch?v=D9ezQDJ2ado,,,2026-04-18 23:06:41,1f38ba1b-1f1c-4cf9-acb9-6c89a96ece94,,,San Juanito 2,Los Latinos,,
Baila Cholita,Duo Savedra Bohorquez,"Baila Cholita, Los Sanjuanitos Mas Sonados de Mi Lindo Ecuador",https://www.youtube.com/watch?v=8RY2jWlZc2A,,,2026-04-18 23:06:41,5170087e-9804-489f-abdf-1f9645bd7cca,,,Baila Cholita,Machu Picchu,,
Juyasschca Huarmigu,Ahaju Fusion Boliwia,"The Best of the Andes (Peru - Bolivia - Ecuador), Vol. 1",https://www.youtube.com/watch?v=TaPyZJUMjtA,,,2026-04-18 23:06:41,fb709408-257a-44dd-a2b4-70e235a6b5c5,,,Juyashca Huarmigu,La Banda de los Andes,,
Sanjuanito,Los Incateños,"Las Mejores Clásicas Andinas para el Mundo, Vol. 100",https://www.youtube.com/watch?v=UC4DKVZgZNg,,,2026-04-18 23:06:41,86c00173-f4a8-4967-aaaf-7aa41eab49a2,,,Sanjuanito,Los Huayanay,,EC
San Juanito,Goupe Sayri Tupac,Andes : Les flûtes du soleil (Air Mail Music Collection),https://www.youtube.com/watch?v=aEqm_-Ye5EY,,,2026-04-18 23:06:41,8143ccbb-0f63-4a3c-a8e2-43b426b8267c,,,San Juanito Irlandes (San Juanito),Itumiray,,
Sanjuanito de Otros Tiempos,"Los Corazas, Carlos Bonilla, Gonzalo Castro",La Flauta de Ecuador,https://www.youtube.com/watch?v=v7pIBWFVDjs,,,2026-04-18 23:06:41,8acf6b67-db6a-4f7f-bed9-1f497bb6b6e2,,,Sanjuanito De Otros Tiesymmpos,Los Corazas,,
San Juanitos,Inca Son,"(Volume #1) Ascope, Tierra Del Amanecer (Ascope, Land of the Dawn)",https://www.youtube.com/watch?v=fdE1LNW-pUs,,,2026-04-18 23:06:41,9cf41698-acf4-433d-afe1-84aafcd8311c,,,San Juanitos,Inca Son,,
La Forasterita,"Los Corazas, Carlos Bonilla, Gonzalo Castro",La Flauta de Ecuador,https://www.youtube.com/watch?v=uE0g8F_nqQE,,,2026-04-18 23:06:41,8acf6b67-db6a-4f7f-bed9-1f497bb6b6e2,,,Sanjuanito De Otros Tiesymmpos,Los Corazas,,
Magolita,Jokiwas,Magolita,https://www.youtube.com/watch?v=cD6knY6mQrY,,,2026-04-18 23:06:41,,,,,,,
El Camote,"Soledad Morales, Polibio Mayorga",Recuerdos de Mi Tierra,https://www.youtube.com/watch?v=ijCmA8uXlBU,,,2026-04-18 23:06:41,62240f60-1422-4b4f-ad4b-e5cfd2038e1f,,,El Salinero,Polibio Mayorga,,EC
Cuatro esquinas,Samy,Los Sanjuanitos de mi Vida,https://www.youtube.com/watch?v=KPQ1ESPpMdQ,,,2026-04-18 23:06:41,31947e59-db62-4ee2-a085-34c1de5daea3,,,Cuatro Esquinas,Ecuador Manta,,
Sanjuanitos Ñuca Llacta,PANBUR HERMANOS PANTA BURE,Sanjuanitos Ñuca Llacta,https://www.youtube.com/watch?v=jtfZU08FA7Y,,,2026-04-18 23:06:41,32ae78a9-5f60-4ef3-a6ac-8b20eafb2f81,,,Ñuca Llacta,Inkari,,
Sanjuanito de mi Tierra,Grupo Inka Llakta,14 Éxitos Folkloricos Latinoamericanos,https://www.youtube.com/watch?v=E691ArXCWEQ,,,2026-04-18 23:06:41,ecf9aec1-e270-4cd0-a0a5-480a8afe08b0,,,Sanjuanito De Mi Tierra,Runa Pacha,,
Sanjuanito de mi Tierra (Sanjuanito Ecuador),Hnas. Mendoza-Suasti,Lo Mejor del Ecuador,https://www.youtube.com/watch?v=VvAXnlrUjwM,,,2026-04-18 23:06:41,ecf9aec1-e270-4cd0-a0a5-480a8afe08b0,,,Sanjuanito De Mi Tierra,Runa Pacha,,
Ñuca Llacta (Tonada de Ecuador version),Hermanas Mendoza Suasti,18 Exitos de Ecuador,https://www.youtube.com/watch?v=Tbx3n1o0YBc,,,2026-04-18 23:06:41,89c37803-0f4a-45f9-96e0-7c019be2907f,,,"Ñuca Llacta (Sanjuanito, Ecuador)",ÑucaLlacta,,
Bailando Me Despido,Hermanas Mendoza Suastí,Ecuador Sus Mas Bellas Canciones,https://www.youtube.com/watch?v=tevLgPHUHRw,,,2026-04-18 23:06:41,dcae854f-6388-426a-8c26-2e26b7dba983,,,Bailando Me Despido,Biluka y Los Caníbales,,
San Juanito,Oshka Tarazona,Sabor Latino,https://www.youtube.com/watch?v=99jVpTi_7dc,,,2026-04-18 23:06:41,8143ccbb-0f63-4a3c-a8e2-43b426b8267c,,,San Juanito Irlandes (San Juanito),Itumiray,,
Corazón Equivocado,Ñanda Mañachi,Del Ecuador Para el Mundo Entero,https://www.youtube.com/watch?v=NoWpKSXokKA,,,2026-04-18 23:06:41,b8430147-953a-4a9e-921c-ae941cc624bf,,,Corazón equivocado,Ñanda Mañachi,,
Por la raza,Dos Lunas,Fiesta Ecuatoriana,https://www.youtube.com/watch?v=FHloyBqGZWA,,,2026-04-18 23:06:41,4f1e4eb7-c0d9-4e22-a987-84753b298b40,,,La canción del espantapájaros,Dos Lunas,,
